
Kannada
1,Portugese
2,Romanian
3,Swedish
4,Chinese
5,Indonesian
6,Italian
7,French
8,English
9,Russian
10,Dutch
11,Arabic
12,English
13,Indonesian
14,Pushto
15,French
16,Latin
17,English
18,Thai
19,Kannada
20,Dutch
21,Swedish
22,Persian
23,Indonesian
24,Greek
25,Turkish
26,Latin
27,Tamil
28,French
29,Chinese
30,Hindi
31,Urdu
32,Pushto
33,Pushto
34,Dutch
35,Dutch
36,Spanish
37,Spanish
38,Tamil
39,English
40,French
41,Persian
42,Urdu
43,Dutch
44,Urdu
45,Kannada
46,Estonian
47,Spanish
48,Swedish
49,Indonesian
50,Latin
51,English
52,Turkish
53,Spanish
54,French
55,Estonian
56,Spanish
57,Russian
58,Kannada
59,Portugese
60,Kannada
61,Swedish
62,Pushto
63,Italian
64,Malayalam
65,Dutch
66,Arabic
67,Hindi
68,Dutch
69,English
70,Spanish
71,Kannada
72,Spanish
73,Thai
74,Persian
75,Tamil
76,German
77,Swedish
78,Kannada
79,Dutch
80,Korean
81,Latin
82,Hindi
83,Russian
84,Kannada
85,Hindi
86,Indonesian
87,Dutch
88,Turkish
89,Spanish
90,Portugese
91,Urdu
92,Tamil
93,Spanish
94,Romanian
95,Indonesian
96,Dutch
97,Turkish
98,Dutch
99,Portugese
100,Hindi
101,Russian
102,French
103,Latin
104,Italian
105,Estonian
106,French
107,German
108,Portugese
109,Romanian
110,Arabic
111,Spanish
112,Pushto
113,Chinese
114,Estonian
115,Estonian
116,French
117,French
118,Danish
119,Hindi
120,Persian
121,Danish
122,Spanish
123,Persian
124,Estonian
125,Dutch
126,Latin
127,Italian
128,Tamil
129,Kannada
130,Portugese
131,Spanish
132,French
133,Russian
134,Dutch
135,Danish
136,Arabic
137,Malayalam
138,Italian
139,Hindi
140,French
141,Russian
142,Turkish
143,Russian
144,Indonesian
145,Urdu
146,Dutch
147,Portugese
148,Tamil
149,English
150,Romanian
151,French
152,Dutch
153,Kannada
154,Arabic
155,Pushto
156,Korean
157,Thai
158,Russian
159,English
160,Romanian
161,English
162,Dutch
163,Russian
164,Korean
165,Spanish
166,French
167,Swedish
168,English
169,Hindi
170,Tamil
171,Turkish
172,Korean
173,English
174,Korean
175,Latin
176,Italian
177,Kannada
178,Italian
179,Japanese
180,Estonian
181,French
182,Turkish
183,French
184,Arabic
185,Persian
186,Pushto
187,Kannada
188,Turkish
189,Arabic
190,English
191,Kannada
192,Russian
193,English
194,Hindi
195,English
196,Arabic
197,Dutch
198,Urdu
199,Danish
200,French
201,Romanian
202,Turkish
203,Russian
204,Persian
205,Spanish
206,Korean
207,Pushto
208,Persian
209,Latin
210,French
211,Indonesian
212,Spanish
213,Urdu
214,Spanish
215,Dutch
216,Dutch
217,English
218,Persian
219,English
220,Japanese
221,Spanish
222,Latin
223,Estonian
224,French
225,Arabic
226,Turkish
227,Portugese
228,Thai
229,Latin
230,Urdu
231,Turkish
232,Hindi
233,English
234,Russian
235,Spanish
236,Spanish
237,Latin
238,Urdu
